2017-10-24 02:07:50 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:07:56 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:08:24 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:08:25 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:09:15 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:09:17 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:10:03 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:10:04 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:10:04 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:10:04 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:10:05 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:10:05 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:10:05 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:10:05 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:10:05 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:10:10 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:10:18 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


2017-10-24 02:11:03 Notice: Notice (8): Undefined variable: generalsettinglogo in [/Applications/XAMPP/xamppfiles/htdocs/hmen/src/Controller/UsersController.php, line 126]


